      Omega           W               beta
      0.71213593      0.44721365      0.22067365

                       Mass            Rp              L               Teff
INTERPOLATION:         14.600000       10.616960       42127.380       24603.037
INTERPOLATION:         12.500000       9.3497582       25758.241       23195.477
INTERPOLATION:         10.800000       8.3643174       15956.429       21747.587
INTERPOLATION:         9.6000000       7.6771486       10783.899       20588.788
INTERPOLATION:         8.6000000       7.1540932       7467.6683       19452.365
INTERPOLATION:         7.7000000       6.6985890       5104.3493       18276.159
INTERPOLATION:         6.4000000       6.0117613       2648.0111       16370.567
INTERPOLATION:         5.5000000       5.5892645       1536.9823       14825.667
INTERPOLATION:         4.8000000       5.2397611       936.31778       13523.431
INTERPOLATION:         4.2000000       4.9454943       567.16243       12276.283
INTERPOLATION:         3.8000000       4.7008921       384.09836       11427.275
INTERPOLATION:         3.4000000       4.4974728       249.11764       10489.189
