      Omega           W               beta
      0.71213593      0.44721365      0.22067365

                       Mass            Rp              L               Teff
INTERPOLATION:         14.600000       5.7558843       22550.214       28599.998
INTERPOLATION:         12.500000       5.2630361       14170.641       26619.359
INTERPOLATION:         10.800000       4.8470568       8964.0189       24735.777
INTERPOLATION:         9.6000000       4.5413141       6159.8536       23272.253
INTERPOLATION:         8.6000000       4.2717628       4308.2810       21941.966
INTERPOLATION:         7.7000000       4.0179266       2977.1162       20625.937
INTERPOLATION:         6.4000000       3.6281861       1581.3675       18531.513
INTERPOLATION:         5.5000000       3.3342508       929.83905       16921.387
INTERPOLATION:         4.8000000       3.0943636       573.31026       15564.697
INTERPOLATION:         4.2000000       2.8844098       351.44669       14276.497
INTERPOLATION:         3.8000000       2.7344905       242.38774       13358.429
INTERPOLATION:         3.4000000       2.5800000       159.59059       12384.801
