      Omega           W               beta
      0.99195008      0.89442705      0.15706532

                       Mass            Rp              L               Teff
EXTRAPOLATION:         14.600000       5.6355170       21363.520       26902.429
EXTRAPOLATION:         12.500000       5.0972196       13245.614       25110.077
EXTRAPOLATION:         10.800000       4.8797651       8850.6661       23223.868
EXTRAPOLATION:         9.6000000       4.6419603       6166.4978       21828.295
EXTRAPOLATION:         8.6000000       4.1445975       4063.7695       20763.830
EXTRAPOLATION:         7.7000000       3.9914518       2871.6197       19409.412
EXTRAPOLATION:         6.4000000       3.6726921       1546.4228       17372.614
EXTRAPOLATION:         5.5000000       3.3926760       918.90459       15838.767
EXTRAPOLATION:         4.8000000       3.0753654       556.70064       14614.448
EXTRAPOLATION:         4.2000000       2.8042930       336.36803       13464.597
EXTRAPOLATION:         3.8000000       2.7262481       234.39164       12583.948
EXTRAPOLATION:         3.4000000       2.5116439       153.59414       11664.928
