      Omega           W               beta
      0.71213593      0.44721365      0.22067365

                       Mass            Rp              L               Teff
INTERPOLATION:         14.600000       7.5027546       31183.264       27161.366
INTERPOLATION:         12.500000       6.8161915       19471.379       25335.481
INTERPOLATION:         10.800000       6.2264884       12204.171       23587.529
INTERPOLATION:         9.6000000       5.7974122       8327.6668       22216.776
INTERPOLATION:         8.6000000       5.4280813       5785.9584       20951.024
INTERPOLATION:         7.7000000       5.1072335       3971.2472       19674.719
INTERPOLATION:         6.4000000       4.6177115       2090.0773       17624.372
INTERPOLATION:         5.5000000       4.2588282       1221.7624       16035.690
INTERPOLATION:         4.8000000       4.0191917       757.59705       14659.720
INTERPOLATION:         4.2000000       3.7201106       459.55198       13437.953
INTERPOLATION:         3.8000000       3.5498211       315.96380       12529.372
INTERPOLATION:         3.4000000       3.3704773       206.88732       11561.311
