      Omega           W               beta
      0.99195008      0.89442705      0.15706532

                       Mass            Rp              L               Teff
EXTRAPOLATION:         14.600000       10.225924       41158.508       23561.233
EXTRAPOLATION:         12.500000       8.1372308       23247.594       22807.411
EXTRAPOLATION:         10.800000       7.6606673       14685.270       20904.169
EXTRAPOLATION:         9.6000000       7.1366578       9947.7392       19611.145
EXTRAPOLATION:         8.6000000       6.6611947       6909.8432       18482.143
EXTRAPOLATION:         7.7000000       6.2173918       4703.8045       17377.863
EXTRAPOLATION:         6.4000000       5.6739106       2485.5101       15506.772
EXTRAPOLATION:         5.5000000       5.3092255       1457.6043       14039.212
EXTRAPOLATION:         4.8000000       5.0015169       896.39661       12806.253
EXTRAPOLATION:         4.2000000       4.7346473       547.09081       11623.745
EXTRAPOLATION:         3.8000000       4.5517196       374.75811       10793.009
EXTRAPOLATION:         3.4000000       4.3699831       244.65599       9902.1226
