      Omega           W               beta
      0.99817375      0.94868351      0.14644071

                       Mass            Rp              L               Teff
EXTRAPOLATION:         14.600000       4.4615997       15368.171       27721.237
EXTRAPOLATION:         12.500000       4.0849386       9838.3680       25745.822
EXTRAPOLATION:         10.800000       3.7618586       6272.4814       23965.410
EXTRAPOLATION:         9.6000000       3.5377738       4327.1976       22596.195
EXTRAPOLATION:         8.6000000       3.3194861       3039.6958       21363.951
EXTRAPOLATION:         7.7000000       3.1194821       2111.2163       20123.925
EXTRAPOLATION:         6.4000000       2.7797782       1132.8854       18200.165
EXTRAPOLATION:         5.5000000       2.5263994       672.62645       16742.366
EXTRAPOLATION:         4.8000000       2.3290758       418.81704       15490.750
EXTRAPOLATION:         4.2000000       2.1678231       260.04610       14285.818
EXTRAPOLATION:         3.8000000       2.0461855       180.71474       13410.021
EXTRAPOLATION:         3.4000000       1.9269338       119.69112       12460.882
