      Omega           W               beta
      0.99817375      0.94868351      0.14644071

                       Mass            Rp              L               Teff
EXTRAPOLATION:         14.600000       10.264837       41283.653       23484.617
EXTRAPOLATION:         12.500000       8.0692016       23130.161       22814.163
EXTRAPOLATION:         10.800000       7.6401673       14653.123       20860.555
EXTRAPOLATION:         9.6000000       7.1278531       9925.5892       19551.435
EXTRAPOLATION:         8.6000000       6.6646551       6907.2692       18411.123
EXTRAPOLATION:         7.7000000       6.2135611       4696.9691       17316.414
EXTRAPOLATION:         6.4000000       5.6689492       2482.1895       15453.437
EXTRAPOLATION:         5.5000000       5.3134733       1457.6543       13987.675
EXTRAPOLATION:         4.8000000       4.9978450       895.67980       12764.637
EXTRAPOLATION:         4.2000000       4.7325585       546.97851       11585.083
EXTRAPOLATION:         3.8000000       4.5485193       374.68691       10759.738
EXTRAPOLATION:         3.4000000       4.3705169       244.74284       9870.5638
