      Omega           W               beta
       0.0000000       0.0000000      0.25000000

                       Mass            Rp              L               Teff
INTERPOLATION:         14.600000       7.2300000       28281.797       27856.657
INTERPOLATION:         12.500000       6.5700000       17809.183       26044.678
INTERPOLATION:         10.800000       6.0200000       11253.173       24250.126
INTERPOLATION:         9.6000000       5.6200000       7716.5824       22836.892
INTERPOLATION:         8.6000000       5.2700000       5364.7934       21534.659
INTERPOLATION:         7.7000000       4.9400000       3664.2576       20224.556
INTERPOLATION:         6.4000000       4.4800000       1925.6130       18078.275
INTERPOLATION:         5.5000000       4.1100000       1116.2359       16466.489
INTERPOLATION:         4.8000000       3.8100000       679.89680       15113.742
INTERPOLATION:         4.2000000       3.5400000       412.38988       13836.333
INTERPOLATION:         3.8000000       3.3500000       281.36625       12921.413
INTERPOLATION:         3.4000000       3.1600000       182.50468       11947.334
