      Omega           W               beta
      0.88388354      0.63245562      0.19708936

                       Mass            Rp              L               Teff
INTERPOLATION:         14.600000       7.3678525       30213.623       26460.294
INTERPOLATION:         12.500000       6.6296483       18561.502       24679.106
INTERPOLATION:         10.800000       6.0520758       11622.455       22912.640
INTERPOLATION:         9.6000000       5.6187994       7914.2699       21597.638
INTERPOLATION:         8.6000000       5.2956906       5538.0408       20323.696
INTERPOLATION:         7.7000000       4.9670464       3795.6680       19085.852
INTERPOLATION:         6.4000000       4.5304412       2014.3880       17037.463
INTERPOLATION:         5.5000000       4.1931619       1181.8218       15466.290
INTERPOLATION:         4.8000000       3.9149373       726.93460       14159.520
INTERPOLATION:         4.2000000       3.6942601       450.15830       13049.087
INTERPOLATION:         3.8000000       3.5030082       308.30981       12189.713
INTERPOLATION:         3.4000000       3.3202073       202.10362       11254.675
