      Omega           W               beta
       0.0000000       0.0000000      0.25000000

                       Mass            Rp              L               Teff
INTERPOLATION:         14.600000       4.6100000       17366.928       30875.500
INTERPOLATION:         12.500000       4.2300000       10929.644       28720.236
INTERPOLATION:         10.800000       3.9000000       6936.1903       26687.691
INTERPOLATION:         9.6000000       3.6600000       4780.2653       25113.659
INTERPOLATION:         8.6000000       3.4400000       3348.5054       23697.253
INTERPOLATION:         7.7000000       3.2200000       2313.8436       22313.516
INTERPOLATION:         6.4000000       2.9000000       1231.1869       20106.570
INTERPOLATION:         5.5000000       2.6500000       726.07586       18405.558
INTERPOLATION:         4.8000000       2.4600000       449.76225       16971.022
INTERPOLATION:         4.2000000       2.2800000       278.22811       15610.075
INTERPOLATION:         3.8000000       2.1600000       192.65354       14643.133
INTERPOLATION:         3.4000000       2.0300000       127.02962       13620.091
