      Omega           W               beta
      0.96005800      0.77459659      0.17666070

                       Mass            Rp              L               Teff
EXTRAPOLATION:         14.600000       5.6472786       21434.722       27183.001
EXTRAPOLATION:         12.500000       5.1421067       13400.789       25337.038
EXTRAPOLATION:         10.800000       4.8457566       8765.8034       23483.058
EXTRAPOLATION:         9.6000000       4.5887997       6091.6216       22079.622
EXTRAPOLATION:         8.6000000       4.1734091       4100.8832       20940.779
EXTRAPOLATION:         7.7000000       3.9952319       2883.5079       19606.245
EXTRAPOLATION:         6.4000000       3.6438424       1542.2388       17578.792
EXTRAPOLATION:         5.5000000       3.3641476       913.08830       16035.481
EXTRAPOLATION:         4.8000000       3.0830971       558.79673       14771.819
EXTRAPOLATION:         4.2000000       2.8284305       338.76874       13593.079
EXTRAPOLATION:         3.8000000       2.7224129       235.10140       12711.798
EXTRAPOLATION:         3.4000000       2.5318931       154.26940       11787.137
