      Omega           W               beta
      0.88388354      0.63245562      0.19708936

                       Mass            Rp              L               Teff
INTERPOLATION:         14.600000       10.035327       40494.849       24404.877
INTERPOLATION:         12.500000       8.9115681       24716.373       22870.672
INTERPOLATION:         10.800000       7.9711870       15237.063       21428.748
INTERPOLATION:         9.6000000       7.3473055       10326.547       20244.263
INTERPOLATION:         8.6000000       6.8142153       7110.8602       19149.748
INTERPOLATION:         7.7000000       6.3856972       4864.3761       17986.911
INTERPOLATION:         6.4000000       5.7942370       2551.6191       16065.543
INTERPOLATION:         5.5000000       5.3808668       1484.7449       14553.901
INTERPOLATION:         4.8000000       5.0934270       913.31755       13254.310
INTERPOLATION:         4.2000000       4.8091896       554.44654       12036.540
INTERPOLATION:         3.8000000       4.6183750       378.83935       11168.365
INTERPOLATION:         3.4000000       4.4020643       245.73297       10261.873
