      Omega           W               beta
      0.99195008      0.89442705      0.15706532

                       Mass            Rp              L               Teff
EXTRAPOLATION:         14.600000       4.4557258       15416.268       27828.175
EXTRAPOLATION:         12.500000       4.0802614       9854.2741       25853.342
EXTRAPOLATION:         10.800000       3.7583908       6281.9967       24062.441
EXTRAPOLATION:         9.6000000       3.5334347       4335.0682       22683.183
EXTRAPOLATION:         8.6000000       3.3168213       3045.2640       21440.832
EXTRAPOLATION:         7.7000000       3.1167391       2114.4411       20194.724
EXTRAPOLATION:         6.4000000       2.7804895       1134.1595       18256.558
EXTRAPOLATION:         5.5000000       2.5306560       673.24796       16786.425
EXTRAPOLATION:         4.8000000       2.3334857       419.18003       15527.756
EXTRAPOLATION:         4.2000000       2.1710271       260.31695       14320.198
EXTRAPOLATION:         3.8000000       2.0487457       180.90539       13443.640
EXTRAPOLATION:         3.4000000       1.9295826       119.80987       12495.243
