      Omega           W               beta
      0.99195008      0.89442705      0.15706532

                       Mass            Rp              L               Teff
EXTRAPOLATION:         14.600000       7.3733655       30071.145       25612.221
EXTRAPOLATION:         12.500000       6.7302026       18706.960       23761.836
EXTRAPOLATION:         10.800000       5.8593457       11114.002       22360.806
EXTRAPOLATION:         9.6000000       5.5887128       7811.4996       20976.340
EXTRAPOLATION:         8.6000000       5.2348362       5449.5787       19768.666
EXTRAPOLATION:         7.7000000       4.9336924       3726.0296       18540.924
EXTRAPOLATION:         6.4000000       4.4472767       1953.6120       16607.935
EXTRAPOLATION:         5.5000000       4.1387475       1153.5024       15098.746
EXTRAPOLATION:         4.8000000       3.9146503       723.08483       13775.914
EXTRAPOLATION:         4.2000000       3.6614240       443.54671       12590.773
EXTRAPOLATION:         3.8000000       3.5361036       308.30097       11705.380
EXTRAPOLATION:         3.4000000       3.3500027       201.70956       10806.769
