      Omega           W               beta
      0.88388354      0.63245562      0.19708936

                       Mass            Rp              L               Teff
INTERPOLATION:         14.600000       4.4136307       15807.429       28697.428
INTERPOLATION:         12.500000       4.0456267       10061.176       27102.850
INTERPOLATION:         10.800000       3.7347950       6404.9349       25194.307
INTERPOLATION:         9.6000000       3.5043139       4426.2082       23700.783
INTERPOLATION:         8.6000000       3.3000000       3108.9246       22355.443
INTERPOLATION:         7.7000000       3.1000000       2154.9807       21042.368
INTERPOLATION:         6.4000000       2.7900000       1153.0667       18971.878
INTERPOLATION:         5.5000000       2.5583834       683.49694       17397.477
INTERPOLATION:         4.8000000       2.3685864       425.06471       16048.682
INTERPOLATION:         4.2000000       2.2035860       263.89903       14754.480
INTERPOLATION:         3.8000000       2.0811084       183.27567       13843.760
INTERPOLATION:         3.4000000       1.9609992       121.16363       12870.103
