      Omega           W               beta
      0.96005800      0.77459659      0.17666070

                       Mass            Rp              L               Teff
EXTRAPOLATION:         14.600000       7.3633822       30064.970       25902.114
EXTRAPOLATION:         12.500000       6.6602945       18549.222       24111.152
EXTRAPOLATION:         10.800000       5.9371784       11311.578       22566.141
EXTRAPOLATION:         9.6000000       5.5947485       7834.8810       21216.528
EXTRAPOLATION:         8.6000000       5.2558946       5471.9043       19991.339
EXTRAPOLATION:         7.7000000       4.9416324       3748.8484       18762.873
EXTRAPOLATION:         6.4000000       4.4818659       1979.3916       16794.181
EXTRAPOLATION:         5.5000000       4.1645739       1166.4045       15267.318
EXTRAPOLATION:         4.8000000       3.9052532       723.11654       13971.520
INTERPOLATION:         4.2000000       3.6800000       446.01280       12744.177
INTERPOLATION:         3.8000000       3.5164349       307.49638       11879.818
INTERPOLATION:         3.4000000       3.3326999       201.43565       10969.414
