      Omega           W               beta
      0.96005800      0.77459659      0.17666070

                       Mass            Rp              L               Teff
EXTRAPOLATION:         14.600000       4.4323215       15632.889       28319.929
INTERPOLATION:         12.500000       4.0631788       9925.5947       26317.050
INTERPOLATION:         10.800000       3.7460146       6324.3809       24487.032
INTERPOLATION:         9.6000000       3.5164334       4370.2685       23074.864
INTERPOLATION:         8.6000000       3.3066859       3070.1332       21789.137
INTERPOLATION:         7.7000000       3.1063050       2129.1906       20515.878
INTERPOLATION:         6.4000000       2.7843171       1140.1868       18513.327
INTERPOLATION:         5.5000000       2.5497324       675.92353       16981.125
INTERPOLATION:         4.8000000       2.3559463       420.69827       15690.582
INTERPOLATION:         4.2000000       2.1847952       261.62814       14482.737
INTERPOLATION:         3.8000000       2.0600000       181.83121       13602.154
INTERPOLATION:         3.4000000       1.9400000       120.37132       12653.395
