      Omega           W               beta
      0.96005800      0.77459659      0.17666070

                       Mass            Rp              L               Teff
EXTRAPOLATION:         14.600000       10.080539       40692.730       23902.307
EXTRAPOLATION:         12.500000       8.4414303       23792.489       22795.012
EXTRAPOLATION:         10.800000       7.7614106       14850.888       21105.075
INTERPOLATION:         9.6000000       7.1800000       10054.241       19879.822
INTERPOLATION:         8.6000000       6.6634045       6942.6438       18796.892
INTERPOLATION:         7.7000000       6.2372162       4739.8709       17664.512
INTERPOLATION:         6.4000000       5.6975106       2501.4878       15769.689
INTERPOLATION:         5.5000000       5.3004099       1458.6737       14288.913
INTERPOLATION:         4.8000000       5.0100000       897.60531       13010.947
INTERPOLATION:         4.2000000       4.7400000       547.36614       11806.386
INTERPOLATION:         3.8000000       4.5413445       373.52913       10954.728
INTERPOLATION:         3.4000000       4.3700000       244.17700       10002.428
