      Omega           W               beta
      0.99817375      0.94868351      0.14644071

                       Mass            Rp              L               Teff
EXTRAPOLATION:         14.600000       7.3766750       30080.300       25551.333
EXTRAPOLATION:         12.500000       6.7482570       18751.830       23686.428
EXTRAPOLATION:         10.800000       5.8425032       11072.492       22318.454
EXTRAPOLATION:         9.6000000       5.5885903       7809.0257       20925.472
EXTRAPOLATION:         8.6000000       5.2307632       5446.0705       19721.792
EXTRAPOLATION:         7.7000000       4.9328591       3721.9170       18493.881
EXTRAPOLATION:         6.4000000       4.4397389       1948.0919       16568.946
EXTRAPOLATION:         5.5000000       4.1330472       1150.7374       15063.583
EXTRAPOLATION:         4.8000000       3.9177987       723.32298       13733.606
EXTRAPOLATION:         4.2000000       3.6582286       443.13429       12556.431
EXTRAPOLATION:         3.8000000       3.5414754       308.59790       11665.799
EXTRAPOLATION:         3.4000000       3.3552289       201.85251       10769.323
