      Omega           W               beta
      0.88388354      0.63245562      0.19708936

                       Mass            Rp              L               Teff
EXTRAPOLATION:         14.600000       5.6794959       21702.555       27752.249
EXTRAPOLATION:         12.500000       5.2135639       13709.031       25821.540
EXTRAPOLATION:         10.800000       4.8050797       8698.4262       24001.310
EXTRAPOLATION:         9.6000000       4.5182790       6015.2659       22578.179
EXTRAPOLATION:         8.6000000       4.2232367       4178.4933       21317.904
INTERPOLATION:         7.7000000       4.0001279       2909.2951       20011.092
INTERPOLATION:         6.4000000       3.6092020       1544.4088       17978.944
INTERPOLATION:         5.5000000       3.3272296       909.63835       16412.999
INTERPOLATION:         4.8000000       3.0919866       563.27708       15090.034
INTERPOLATION:         4.2000000       2.8640780       343.53530       13859.193
INTERPOLATION:         3.8000000       2.7200000       237.13323       12970.147
INTERPOLATION:         3.4000000       2.5625553       155.95445       12030.018
